tx_err_x,tx_err_y,tx_err_px
484.30408,2.5516968,484.3108
633.476,12.738159,633.60406
373.04767,10.700684,373.2011
399.04874,5.117279,399.08154
268.38,8.257416,268.50702
210.45117,0.29135132,210.45137
87.548035,6.1700745,87.76519
184.1958,8.81485,184.4066
494.9762,8.784058,495.05414
159.99854,1.7445068,160.00804
63.00177,3.2106628,63.083527
102.70282,11.76712,103.374725
143.64209,29.420288,146.62402
124.78241,7.5519714,125.01073
53.776062,3.3935852,53.88303
414.94635,0.16165161,414.94638
71.48096,2.9083862,71.5401
104.512146,6.608612,104.72088
9.916443,8.659119,13.16496
332.50812,3.0770264,332.52237
106.865845,17.049957,108.21742
28.026001,8.342133,29.241201
506.88287,5.2928467,506.91052
38.40741,0.5170288,38.41089
75.6593,21.621552,78.68813
252.443,19.913483,253.22719
754.0311,13.986694,754.1608
310.90216,17.429504,311.39035
43.072266,26.447968,50.54419
146.3783,16.229614,147.27527
188.87646,9.875122,189.13445
610.475,17.235535,610.7182
81.53235,7.9196777,81.916084
217.3097,17.58313,218.01988
399.15198,8.432343,399.24103
20.671265,4.779999,21.216728
884.85736,5.118469,884.8722
182.45697,18.625946,183.40521
777.8707,12.915497,777.97797
9.978088,10.326355,14.359522
665.1881,0.5534973,665.18835
829.54974,6.6966248,829.5768
528.52405,2.087555,528.52814
494.77786,12.218567,494.9287
87.06079,12.683105,87.97979
17.46991,6.0930176,18.501963
303.2345,0.9890137,303.2361
154.2649,19.419647,155.4824
41.493896,34.089264,53.70122
705.9187,31.803955,706.63477
850.8391,2.0879822,850.8417
32.54065,6.7158203,33.226437
470.3791,14.891785,470.61475
228.71735,15.57608,229.24712
134.97345,2.1249084,134.99017
42.318115,0.9803467,42.329468
9.129272,1.2597351,9.215776
46.059204,3.302948,46.17748
30.71991,18.810883,36.02169
316.4411,28.71524,317.7413
243.25024,16.172943,243.7873
406.3468,6.3468933,406.39636
294.38123,2.0381775,294.38828
34.36975,8.246063,35.34512
42.263184,11.14386,43.70769
229.54272,3.6361694,229.57153
22.342834,0.5604248,22.349861
121.72717,47.900787,130.8128
25.844116,32.590332,41.593845
648.44543,6.3457336,648.4765
412.3141,11.272247,412.46814
90.37158,9.196594,90.83832
15.380249,9.051819,17.846218
216.05975,5.0174866,216.11801
267.8059,13.8663025,268.16464
51.250122,10.866211,52.3894
830.2828,13.603394,830.3942
94.171936,21.1651,96.521065
853.647,3.6906128,853.6549
38.76465,24.521484,45.869392
34.144714,14.430725,37.068954
57.983643,19.630432,61.216473
112.65399,0.75,112.65649
136.64093,6.8688965,136.81348
5.4519653,11.857056,13.050428
131.7008,16.717163,132.75754
491.7315,9.86911,491.83054
29.752808,24.278564,38.40154
22.67389,18.977142,29.567503
79.54712,10.699432,80.26346
643.7136,2.7291565,643.7194
493.80124,10.903412,493.9216
125.27667,3.453308,125.324265
419.7445,5.2067566,419.7768
446.6032,9.022705,446.69434
211.80225,4.728943,211.85503
584.16187,0.6817932,584.1623
192.46252,36.72937,195.93588
0.22607422,3.6364746,3.643495
316.90967,9.065765,317.0393
85.0509,3.9495544,85.14256
551.2684,27.269867,551.94244
205.13922,0.21774292,205.13934
20.396484,7.6088257,21.769493
286.52356,27.00708,287.79355
458.85736,11.546936,459.00262
